co_natureza_juridica,ds_natureza_juridica,co_organizacao_n1,ds_organizacao_n1,co_organizacao_n2,ds_organizacao_n2,co_organizacao_n3,ds_organizacao_n3,an_lanc,me_lanc,id_conta_contabil,no_conta_contabil,va_custo_depreciacao
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,3561,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE RORAIMA",-9,NAO SE APLICA,2015,2,333110100,DEPRECIACAO DE BENS MOVEIS,17758.25
3,ADMINISTRACAO DIRETA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO",2055,SECRETARIA DE POLITICAS E PROGRAMAS DE PESQUISA E DESENVOLVIMENTO,-9,NAO SE APLICA,2015,4,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,2844,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2946,SUPERINTENDENCIA REGIONAL DO TRABALHO E EMPREGO NO PIAUI,-9,NAO SE APLICA,2015,11,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO",982,LABORATORIO NACIONAL DE COMPUTACAO CIENTIFICA,-9,NAO SE APLICA,2015,9,333210200,AMORTIZACAO DE INTANGIVEL,7982.43
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,3561,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE RORAIMA",-9,NAO SE APLICA,2015,3,333110200,DEPRECIACAO DE BENS IMOVEIS,0.13
2,FUNDACAO PUBLICA,2981,"MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO",7,FUNDACAO INSTITUTO DE PESQUISA ECONOMICA APLICADA,-9,NAO SE APLICA,2015,12,333110100,DEPRECIACAO DE BENS MOVEIS,128454.6
3,ADMINISTRACAO DIRETA,52303,CONTROLADORIA-GERAL DA UNIAO,1364,CONTROLADORIA REGIONAL DA UNIAO NO ESTADO DO ACRE,-9,NAO SE APLICA,2015,1,333110100,DEPRECIACAO DE BENS MOVEIS,3527.44
2,FUNDACAO PUBLICA,244,MINISTERIO DA EDUCACAO,465,FUNDACAO UNIVERSIDADE DO AMAZONAS,-9,NAO SE APLICA,2015,10,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,2844,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,3503,SUPERINTENDENCIA REGIONAL DO TRABALHO E EMPREGO EM TOCANTINS,-9,NAO SE APLICA,2015,5,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,100931,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA FLUMINENSE",-9,NAO SE APLICA,2015,5,333110100,DEPRECIACAO DE BENS MOVEIS,0.0
3,ADMINISTRACAO DIRETA,2844,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2946,SUPERINTENDENCIA REGIONAL DO TRABALHO E EMPREGO NO PIAUI,-9,NAO SE APLICA,2015,3,333110200,DEPRECIACAO DE BENS IMOVEIS,204.94
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2776,"SUPERINTENDENCIA FEDERAL DE AGRICULTURA, PECUARIA E ABASTECIMENTO NO ESTADO DO PARANA",-9,NAO SE APLICA,2015,8,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
1,EMPRESA PUBLICA,244,MINISTERIO DA EDUCACAO,117267,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES,-9,NAO SE APLICA,2015,5,333110100,DEPRECIACAO DE BENS MOVEIS,703807.19
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2793,"SUPERINTENDENCIA FEDERAL DE AGRICULTURA, PECUARIA E ABASTECIMENTO NO ESTADO DO MATO GROSSO",-9,NAO SE APLICA,2015,5,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,304,MINISTERIO DA SAUDE,36687,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,-9,NAO SE APLICA,2015,9,333110100,DEPRECIACAO DE BENS MOVEIS,826402.25
3,ADMINISTRACAO DIRETA,2844,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,3497,SUPERINTENDENCIA REGIONAL DO TRABALHO E EMPREGO NO RIO GRANDE DO NORTE,-9,NAO SE APLICA,2015,7,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,105793,UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO-AMERICANA,-9,NAO SE APLICA,2015,3,333110100,DEPRECIACAO DE BENS MOVEIS,142018.98
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,100908,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE TOCANTINS",-9,NAO SE APLICA,2015,9,333110100,DEPRECIACAO DE BENS MOVEIS,99294.71
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2808,"SUPERINTENDENCIA FEDERAL DE AGRICULTURA, PECUARIA E ABASTECIMENTO NO ESTADO DO RIO GRANDE DO NORTE",-9,NAO SE APLICA,2015,7,333110100,DEPRECIACAO DE BENS MOVEIS,32250.13
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,415,UNIVERSIDADE FEDERAL DO PARA,-9,NAO SE APLICA,2015,11,333110100,DEPRECIACAO DE BENS MOVEIS,1367314.52
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,46784,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO",-9,NAO SE APLICA,2015,6,333110100,DEPRECIACAO DE BENS MOVEIS,1589.58
2,FUNDACAO PUBLICA,2981,"MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO",3,FUNDACAO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATISTICA,-9,NAO SE APLICA,2015,11,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,52303,CONTROLADORIA-GERAL DA UNIAO,1367,CONTROLADORIA REGIONAL DA UNIAO NO ESTADO DA BAHIA,-9,NAO SE APLICA,2015,9,333110100,DEPRECIACAO DE BENS MOVEIS,9797.55
2,FUNDACAO PUBLICA,244,MINISTERIO DA EDUCACAO,69624,FUNDACAO UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO,-9,NAO SE APLICA,2015,5,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,2844,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,3434,SUPERINTENDENCIA REGIONAL DO TRABALHO E EMPREGO EM GOIAS,-9,NAO SE APLICA,2015,8,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,103730,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,-9,NAO SE APLICA,2015,9,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,253,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,-9,NAO SE APLICA,2015,8,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
2,FUNDACAO PUBLICA,244,MINISTERIO DA EDUCACAO,94739,FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA,-9,NAO SE APLICA,2015,6,333110100,DEPRECIACAO DE BENS MOVEIS,0.0
2,FUNDACAO PUBLICA,2844,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,221,"FUNDACAO JORGE DUPRAT FIGUEIREDO, DE SEGURANCA E MEDICINA DO TRABALHO",-9,NAO SE APLICA,2015,11,333210200,AMORTIZACAO DE INTANGIVEL,0.0
3,ADMINISTRACAO DIRETA,41066,MINISTERIO DA DEFESA,94,COMANDO DO EXERCITO,-9,NAO SE APLICA,2015,8,333110100,DEPRECIACAO DE BENS MOVEIS,920683.55
2,FUNDACAO PUBLICA,2844,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,221,"FUNDACAO JORGE DUPRAT FIGUEIREDO, DE SEGURANCA E MEDICINA DO TRABALHO",-9,NAO SE APLICA,2015,5,333210200,AMORTIZACAO DE INTANGIVEL,0.0
2,FUNDACAO PUBLICA,2981,"MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO",7,FUNDACAO INSTITUTO DE PESQUISA ECONOMICA APLICADA,-9,NAO SE APLICA,2015,1,333210200,AMORTIZACAO DE INTANGIVEL,77137.03
2,FUNDACAO PUBLICA,244,MINISTERIO DA EDUCACAO,471,FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO,-9,NAO SE APLICA,2015,6,333110100,DEPRECIACAO DE BENS MOVEIS,0.0
3,ADMINISTRACAO DIRETA,52303,CONTROLADORIA-GERAL DA UNIAO,1373,CONTROLADORIA REGIONAL DA UNIAO NO ESTADO DO MATO GROSSO DO SUL,-9,NAO SE APLICA,2015,5,333110100,DEPRECIACAO DE BENS MOVEIS,5628.11
2,FUNDACAO PUBLICA,244,MINISTERIO DA EDUCACAO,471,FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO,-9,NAO SE APLICA,2015,12,333110100,DEPRECIACAO DE BENS MOVEIS,1360900.22
3,ADMINISTRACAO DIRETA,316,MINISTERIO DA JUSTICA,-9,NAO SE APLICA,-9,NAO SE APLICA,2015,10,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",-9,NAO SE APLICA,-9,NAO SE APLICA,2015,6,333210200,AMORTIZACAO DE INTANGIVEL,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,100918,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO RIO GRANDE DO SUL",-9,NAO SE APLICA,2015,12,333110100,DEPRECIACAO DE BENS MOVEIS,47173.15
