co_natureza_juridica,ds_natureza_juridica,co_organizacao_n1,ds_organizacao_n1,co_organizacao_n2,ds_organizacao_n2,co_organizacao_n3,ds_organizacao_n3,an_lanc,me_lanc,id_conta_contabil,no_conta_contabil,va_custo_depreciacao
3,ADMINISTRACAO DIRETA,52303,CONTROLADORIA-GERAL DA UNIAO,9849,CONTROLADORIA REGIONAL DA UNIAO NO ESTADO DO RIO GRANDE DO NORTE,-9,NAO SE APLICA,2015,11,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
6,SOCIEDADE DE ECONOMIA MISTA,42672,MINISTERIO DAS CIDADES,958,EMPRESA DE TRENS URBANOS DE PORTO ALEGRE S.A,-9,NAO SE APLICA,2015,3,333110200,DEPRECIACAO DE BENS IMOVEIS,6777695.54
1,EMPRESA PUBLICA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO",98519,CENTRO NACIONAL DE TECNOLOGIA ELETRONICA AVANCADA S. A,-9,NAO SE APLICA,2015,7,333110200,DEPRECIACAO DE BENS IMOVEIS,1501.71
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,463,UNIVERSIDADE FEDERAL DE LAVRAS,-9,NAO SE APLICA,2015,4,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,3159,MINISTERIO DAS COMUNICACOES,25064,AGENCIA NACIONAL DE TELECOMUNICACOES,-9,NAO SE APLICA,2015,7,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,72084,MINISTERIO DO TURISMO,241,INSTITUTO BRASILEIRO DE TURISMO,-9,NAO SE APLICA,2015,4,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,1927,MINISTERIO DO MEIO AMBIENTE,46876,AGENCIA NACIONAL DE AGUAS,-9,NAO SE APLICA,2015,6,333110100,DEPRECIACAO DE BENS MOVEIS,833878.45
3,ADMINISTRACAO DIRETA,52303,CONTROLADORIA-GERAL DA UNIAO,1370,CONTROLADORIA REGIONAL DA UNIAO NO ESTADO DE GOIAS,-9,NAO SE APLICA,2015,6,333110100,DEPRECIACAO DE BENS MOVEIS,9091.81
3,ADMINISTRACAO DIRETA,316,MINISTERIO DA JUSTICA,704,DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL,-9,NAO SE APLICA,2015,10,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
2,FUNDACAO PUBLICA,244,MINISTERIO DA EDUCACAO,257,FUNDACAO JOAQUIM NABUCO,-9,NAO SE APLICA,2015,6,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,415,UNIVERSIDADE FEDERAL DO PARA,-9,NAO SE APLICA,2015,7,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
2,FUNDACAO PUBLICA,244,MINISTERIO DA EDUCACAO,469,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,-9,NAO SE APLICA,2015,8,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
2,FUNDACAO PUBLICA,244,MINISTERIO DA EDUCACAO,473,FUNDACAO UNIVERSIDADE FEDERAL DE OURO PRETO,-9,NAO SE APLICA,2015,11,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
6,SOCIEDADE DE ECONOMIA MISTA,42672,MINISTERIO DAS CIDADES,958,EMPRESA DE TRENS URBANOS DE PORTO ALEGRE S.A,-9,NAO SE APLICA,2015,7,333110100,DEPRECIACAO DE BENS MOVEIS,1319462.93
4,AUTARQUIA,92748,SECRETARIA DE PORTOS DA PRESIDENCIA DA REPUBLICA,54843,AGENCIA NACIONAL DE TRANSPORTES AQUAVIARIOS,-9,NAO SE APLICA,2015,7,333210200,AMORTIZACAO DE INTANGIVEL,29258.82
3,ADMINISTRACAO DIRETA,1408,VICE-PRESIDENCIA DA REPUBLICA,3006,GABINETE,-9,NAO SE APLICA,2015,6,333110100,DEPRECIACAO DE BENS MOVEIS,28884.86
3,ADMINISTRACAO DIRETA,1408,VICE-PRESIDENCIA DA REPUBLICA,3006,GABINETE,-9,NAO SE APLICA,2015,8,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,428,UNIVERSIDADE FEDERAL DO PARANA,-9,NAO SE APLICA,2015,7,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,2844,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,3496,SUPERINTENDENCIA REGIONAL DO TRABALHO E EMPREGO NA PARAIBA,-9,NAO SE APLICA,2015,11,333110100,DEPRECIACAO DE BENS MOVEIS,0.0
2,FUNDACAO PUBLICA,2981,"MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO",7,FUNDACAO INSTITUTO DE PESQUISA ECONOMICA APLICADA,-9,NAO SE APLICA,2015,9,333110100,DEPRECIACAO DE BENS MOVEIS,155847.69
2,FUNDACAO PUBLICA,244,MINISTERIO DA EDUCACAO,260,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,-9,NAO SE APLICA,2015,7,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO",346,OBSERVATORIO NACIONAL,-9,NAO SE APLICA,2015,2,333110100,DEPRECIACAO DE BENS MOVEIS,94273.29
1,EMPRESA PUBLICA,91624,SECRETARIA DE COMUNICACAO SOCIAL DA PRESIDENCIA DA REPUBLICA,86567,EMPRESA BRASIL DE COMUNICACAO S.A.,-9,NAO SE APLICA,2015,5,333210200,AMORTIZACAO DE INTANGIVEL,290424.41
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,463,UNIVERSIDADE FEDERAL DE LAVRAS,-9,NAO SE APLICA,2015,10,333310100,EXAUSTAO,0.0
2,FUNDACAO PUBLICA,244,MINISTERIO DA EDUCACAO,470,FUNDACAO UNIVERSIDADE DE BRASILIA,-9,NAO SE APLICA,2015,11,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,1929,MINISTERIO DA FAZENDA,235,SUPERINTENDENCIA DE SEGUROS PRIVADOS,-9,NAO SE APLICA,2015,5,333110100,DEPRECIACAO DE BENS MOVEIS,66014.13
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2816,"SUPERINTENDENCIA FEDERAL DE AGRICULTURA, PECUARIA E ABASTECIMENTO NO ESTADO DE RORAIMA",-9,NAO SE APLICA,2015,4,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
2,FUNDACAO PUBLICA,244,MINISTERIO DA EDUCACAO,1209,FUNDACAO UNIVERSIDADE FEDERAL DE RONDONIA,-9,NAO SE APLICA,2015,8,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO",12,INSTITUTO BRASILEIRO DE INFORMACAO EM CIENCIA E TECNOLOGIA,-9,NAO SE APLICA,2015,9,333110100,DEPRECIACAO DE BENS MOVEIS,53945.25
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,100909,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SERGIPE",-9,NAO SE APLICA,2015,9,333110100,DEPRECIACAO DE BENS MOVEIS,105706.15
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2783,"SUPERINTENDENCIA FEDERAL DE AGRICULTURA, PECUARIA E ABASTECIMENTO NO ESTADO DE SAO PAULO",-9,NAO SE APLICA,2015,10,333210200,AMORTIZACAO DE INTANGIVEL,116.67
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,455,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SANTA CATARINA",-9,NAO SE APLICA,2015,9,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,445,CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS,-9,NAO SE APLICA,2015,8,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO",2055,SECRETARIA DE POLITICAS E PROGRAMAS DE PESQUISA E DESENVOLVIMENTO,-9,NAO SE APLICA,2015,10,333110100,DEPRECIACAO DE BENS MOVEIS,28450.78
3,ADMINISTRACAO DIRETA,52303,CONTROLADORIA-GERAL DA UNIAO,1372,CONTROLADORIA REGIONAL DA UNIAO NO ESTADO DE MINAS GERAIS,-9,NAO SE APLICA,2015,7,333110100,DEPRECIACAO DE BENS MOVEIS,12416.16
3,ADMINISTRACAO DIRETA,52303,CONTROLADORIA-GERAL DA UNIAO,1371,CONTROLADORIA REGIONAL DA UNIAO NO ESTADO DO MARANHAO,-9,NAO SE APLICA,2015,11,333110100,DEPRECIACAO DE BENS MOVEIS,8187.76
3,ADMINISTRACAO DIRETA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO",24751,CENTRO BRASILEIRO DE PESQUISAS FISICAS,-9,NAO SE APLICA,2015,3,333110100,DEPRECIACAO DE BENS MOVEIS,181397.61
3,ADMINISTRACAO DIRETA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO",2055,SECRETARIA DE POLITICAS E PROGRAMAS DE PESQUISA E DESENVOLVIMENTO,-9,NAO SE APLICA,2015,12,333110100,DEPRECIACAO DE BENS MOVEIS,30444.55
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2803,"SUPERINTENDENCIA FEDERAL DE AGRICULTURA, PECUARIA E ABASTECIMENTO NO ESTADO DO PIAUI",-9,NAO SE APLICA,2015,4,333110100,DEPRECIACAO DE BENS MOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,253,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,-9,NAO SE APLICA,2015,4,333110100,DEPRECIACAO DE BENS MOVEIS,604529.23
1,EMPRESA PUBLICA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2114,COMPANHIA NACIONAL DE ABASTECIMENTO,-9,NAO SE APLICA,2015,4,333110200,DEPRECIACAO DE BENS IMOVEIS,795818.64
3,ADMINISTRACAO DIRETA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO",24712,MUSEU PARAENSE EMILIO GOELDI,-9,NAO SE APLICA,2015,3,333110100,DEPRECIACAO DE BENS MOVEIS,43635.49
3,ADMINISTRACAO DIRETA,52303,CONTROLADORIA-GERAL DA UNIAO,45940,CONTROLADORIA REGIONAL DA UNIAO NO ESTADO DE RORAIMA,-9,NAO SE APLICA,2015,6,333110100,DEPRECIACAO DE BENS MOVEIS,5125.26
1,EMPRESA PUBLICA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2114,COMPANHIA NACIONAL DE ABASTECIMENTO,-9,NAO SE APLICA,2015,8,333110200,DEPRECIACAO DE BENS IMOVEIS,796815.98
2,FUNDACAO PUBLICA,244,MINISTERIO DA EDUCACAO,250,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR,-9,NAO SE APLICA,2015,2,333110100,DEPRECIACAO DE BENS MOVEIS,815064.57
3,ADMINISTRACAO DIRETA,52303,CONTROLADORIA-GERAL DA UNIAO,9849,CONTROLADORIA REGIONAL DA UNIAO NO ESTADO DO RIO GRANDE DO NORTE,-9,NAO SE APLICA,2015,5,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,100931,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA FLUMINENSE",-9,NAO SE APLICA,2015,12,333210200,AMORTIZACAO DE INTANGIVEL,4213.3
4,AUTARQUIA,42670,MINISTERIO DA INTEGRACAO NACIONAL,91144,SUPERINTENDENCIA DO DESENVOLVIMENTO DO NORDESTE,-9,NAO SE APLICA,2015,10,333110100,DEPRECIACAO DE BENS MOVEIS,35433.61
3,ADMINISTRACAO DIRETA,41066,MINISTERIO DA DEFESA,-9,NAO SE APLICA,-9,NAO SE APLICA,2015,12,333210200,AMORTIZACAO DE INTANGIVEL,216427.97
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2798,"SUPERINTENDENCIA FEDERAL DE AGRICULTURA, PECUARIA E ABASTECIMENTO NO ESTADO DO ACRE",-9,NAO SE APLICA,2015,12,333110100,DEPRECIACAO DE BENS MOVEIS,0.0
4,AUTARQUIA,2852,MINISTERIO DE MINAS E ENERGIA,21089,AGENCIA NACIONAL DE ENERGIA ELETRICA,-9,NAO SE APLICA,2015,12,333110100,DEPRECIACAO DE BENS MOVEIS,251690.35
1,EMPRESA PUBLICA,244,MINISTERIO DA EDUCACAO,258,HOSPITAL DE CLINICAS DE PORTO ALEGRE,-9,NAO SE APLICA,2015,7,333210200,AMORTIZACAO DE INTANGIVEL,64648.32
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,462,UNIVERSIDADE FEDERAL DE ITAJUBA,-9,NAO SE APLICA,2015,11,333110100,DEPRECIACAO DE BENS MOVEIS,340693.59
1,EMPRESA PUBLICA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",25,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,-9,NAO SE APLICA,2015,6,333110100,DEPRECIACAO DE BENS MOVEIS,690185.45
2,FUNDACAO PUBLICA,2981,"MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO",956,FUNDACAO ESCOLA NACIONAL DE ADMINISTRACAO PUBLICA,-9,NAO SE APLICA,2015,3,333110200,DEPRECIACAO DE BENS IMOVEIS,5748.72
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,100931,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA FLUMINENSE",-9,NAO SE APLICA,2015,7,333210200,AMORTIZACAO DE INTANGIVEL,0.0
3,ADMINISTRACAO DIRETA,1929,MINISTERIO DA FAZENDA,344,ESCOLA DE ADMINISTRACAO FAZENDARIA,-9,NAO SE APLICA,2015,3,333110100,DEPRECIACAO DE BENS MOVEIS,45956.22
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,457,UNIVERSIDADE FEDERAL RURAL DA AMAZONIA,-9,NAO SE APLICA,2015,4,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,41066,MINISTERIO DA DEFESA,185,COMANDO DA MARINHA,-9,NAO SE APLICA,2015,9,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,439,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",-9,NAO SE APLICA,2015,8,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,316,MINISTERIO DA JUSTICA,-9,NAO SE APLICA,-9,NAO SE APLICA,2015,12,333110200,DEPRECIACAO DE BENS IMOVEIS,30072.4
1,EMPRESA PUBLICA,244,MINISTERIO DA EDUCACAO,117267,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES,-9,NAO SE APLICA,2015,8,333210100,AMORTIZACAO DE IMOBILIZADO,3507.47
2,FUNDACAO PUBLICA,263,MINISTERIO DAS RELACOES EXTERIORES,299,FUNDACAO ALEXANDRE DE GUSMAO,-9,NAO SE APLICA,2015,4,333110100,DEPRECIACAO DE BENS MOVEIS,6654.67
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2797,"SUPERINTENDENCIA FEDERAL DE AGRICULTURA, PECUARIA E ABASTECIMENTO NO ESTADO DE PERNAMBUCO",-9,NAO SE APLICA,2015,12,333110100,DEPRECIACAO DE BENS MOVEIS,50381.1
4,AUTARQUIA,1927,MINISTERIO DO MEIO AMBIENTE,91842,INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE,-9,NAO SE APLICA,2015,12,333110100,DEPRECIACAO DE BENS MOVEIS,348906.06
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,253,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,-9,NAO SE APLICA,2015,5,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,3162,"MINISTERIO DO DESENVOLVIMENTO, INDUSTRIA E COMERCIO EXTERIOR",382,INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL,-9,NAO SE APLICA,2015,10,333110100,DEPRECIACAO DE BENS MOVEIS,0.0
4,AUTARQUIA,3162,"MINISTERIO DO DESENVOLVIMENTO, INDUSTRIA E COMERCIO EXTERIOR",382,INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL,-9,NAO SE APLICA,2015,5,333110100,DEPRECIACAO DE BENS MOVEIS,794105.54
4,AUTARQUIA,316,MINISTERIO DA JUSTICA,322,CONSELHO ADMINISTRATIVO DE DEFESA ECONOMICA,-9,NAO SE APLICA,2015,2,333110100,DEPRECIACAO DE BENS MOVEIS,105593.87
3,ADMINISTRACAO DIRETA,244,MINISTERIO DA EDUCACAO,252,INSTITUTO NACIONAL DE EDUCACAO DE SURDOS,-9,NAO SE APLICA,2015,12,333110200,DEPRECIACAO DE BENS IMOVEIS,37527.88
3,ADMINISTRACAO DIRETA,1927,MINISTERIO DO MEIO AMBIENTE,-9,NAO SE APLICA,-9,NAO SE APLICA,2015,7,333110100,DEPRECIACAO DE BENS MOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,105793,UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO-AMERICANA,-9,NAO SE APLICA,2015,7,333210200,AMORTIZACAO DE INTANGIVEL,2317.5
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,423,UNIVERSIDADE FEDERAL DE MINAS GERAIS,-9,NAO SE APLICA,2015,4,333110100,DEPRECIACAO DE BENS MOVEIS,6615.82
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,420,UNIVERSIDADE FEDERAL DE ALAGOAS,-9,NAO SE APLICA,2015,9,333110100,DEPRECIACAO DE BENS MOVEIS,221433.6
1,EMPRESA PUBLICA,1929,MINISTERIO DA FAZENDA,90,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS,-9,NAO SE APLICA,2015,11,333210200,AMORTIZACAO DE INTANGIVEL,2168.84
4,AUTARQUIA,2852,MINISTERIO DE MINAS E ENERGIA,1918,DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL,-9,NAO SE APLICA,2015,12,333110200,DEPRECIACAO DE BENS IMOVEIS,1397.14
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,427,UNIVERSIDADE FEDERAL FLUMINENSE,-9,NAO SE APLICA,2015,4,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,434,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO PIAUI",-9,NAO SE APLICA,2015,10,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
1,EMPRESA PUBLICA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",25,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,-9,NAO SE APLICA,2015,12,333110100,DEPRECIACAO DE BENS MOVEIS,670481.89
3,ADMINISTRACAO DIRETA,41066,MINISTERIO DA DEFESA,94,COMANDO DO EXERCITO,-9,NAO SE APLICA,2015,1,333110100,DEPRECIACAO DE BENS MOVEIS,1045178.47
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2797,"SUPERINTENDENCIA FEDERAL DE AGRICULTURA, PECUARIA E ABASTECIMENTO NO ESTADO DE PERNAMBUCO",-9,NAO SE APLICA,2015,11,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,454,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,-9,NAO SE APLICA,2015,5,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,453,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO",-9,NAO SE APLICA,2015,11,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,425,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,-9,NAO SE APLICA,2015,9,333110100,DEPRECIACAO DE BENS MOVEIS,84887.9
3,ADMINISTRACAO DIRETA,92748,SECRETARIA DE PORTOS DA PRESIDENCIA DA REPUBLICA,-9,NAO SE APLICA,-9,NAO SE APLICA,2015,5,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2789,"SUPERINTENDENCIA FEDERAL DE AGRICULTURA, PECUARIA E ABASTECIMENTO NO ESTADO DO CEARA",-9,NAO SE APLICA,2015,8,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
2,FUNDACAO PUBLICA,244,MINISTERIO DA EDUCACAO,473,FUNDACAO UNIVERSIDADE FEDERAL DE OURO PRETO,-9,NAO SE APLICA,2015,3,333110200,DEPRECIACAO DE BENS IMOVEIS,4711.63
1,EMPRESA PUBLICA,244,MINISTERIO DA EDUCACAO,117267,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES,-9,NAO SE APLICA,2015,4,333210100,AMORTIZACAO DE IMOBILIZADO,1259.13
3,ADMINISTRACAO DIRETA,1988,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO",24753,LABORATORIO NACIONAL DE ASTROFISICA,-9,NAO SE APLICA,2015,4,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,2844,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2877,SUPERINTENDENCIA REGIONAL DO TRABALHO E EMPREGO EM MATO GROSSO,-9,NAO SE APLICA,2015,6,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2799,"SUPERINTENDENCIA FEDERAL DE AGRICULTURA, PECUARIA E ABASTECIMENTO NO ESTADO DO AMAPA",-9,NAO SE APLICA,2015,5,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,84710,UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA,-9,NAO SE APLICA,2015,4,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,42670,MINISTERIO DA INTEGRACAO NACIONAL,100113,SUPERINTENDENCIA DE DESENVOLVIMENTO DO CENTRO-OESTE,-9,NAO SE APLICA,2015,8,333110100,DEPRECIACAO DE BENS MOVEIS,33222.69
3,ADMINISTRACAO DIRETA,94285,SECRETARIA DE ASSUNTOS ESTRATEGICOS DA PRESIDENCIA DA REPUBLICA,-9,NAO SE APLICA,-9,NAO SE APLICA,2015,4,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,2844,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,3478,SUPERINTENDENCIA REGIONAL DO TRABALHO E EMPREGO NO RIO DE JANEIRO,-9,NAO SE APLICA,2015,2,333110100,DEPRECIACAO DE BENS MOVEIS,54194.07
3,ADMINISTRACAO DIRETA,52303,CONTROLADORIA-GERAL DA UNIAO,9854,CONTROLADORIA REGIONAL DA UNIAO NO ESTADO DE SERGIPE,-9,NAO SE APLICA,2015,8,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,100909,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SERGIPE",-9,NAO SE APLICA,2015,6,333210200,AMORTIZACAO DE INTANGIVEL,10362.0
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2030,INSTITUTO NACIONAL DE METEOROLOGIA,-9,NAO SE APLICA,2015,7,333110100,DEPRECIACAO DE BENS MOVEIS,314038.04
3,ADMINISTRACAO DIRETA,1929,MINISTERIO DA FAZENDA,1987,SECRETARIA DE POLITICA ECONOMICA,-9,NAO SE APLICA,2015,7,333110100,DEPRECIACAO DE BENS MOVEIS,13854.55
3,ADMINISTRACAO DIRETA,263,MINISTERIO DAS RELACOES EXTERIORES,14565,ESCRITORIO DE REPRESENTACAO NO RIO DE JANEIRO,-9,NAO SE APLICA,2015,9,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,100903,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO TRIANGULO MINEIRO",-9,NAO SE APLICA,2015,12,333110200,DEPRECIACAO DE BENS IMOVEIS,2379.89
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2799,"SUPERINTENDENCIA FEDERAL DE AGRICULTURA, PECUARIA E ABASTECIMENTO NO ESTADO DO AMAPA",-9,NAO SE APLICA,2015,12,333110100,DEPRECIACAO DE BENS MOVEIS,166940.48
2,FUNDACAO PUBLICA,244,MINISTERIO DA EDUCACAO,827,FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,-9,NAO SE APLICA,2015,7,333110100,DEPRECIACAO DE BENS MOVEIS,463185.95
1,EMPRESA PUBLICA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2114,COMPANHIA NACIONAL DE ABASTECIMENTO,-9,NAO SE APLICA,2015,9,333110200,DEPRECIACAO DE BENS IMOVEIS,800044.09
4,AUTARQUIA,3162,"MINISTERIO DO DESENVOLVIMENTO, INDUSTRIA E COMERCIO EXTERIOR",166,SUPERINTENDENCIA DA ZONA FRANCA DE MANAUS,-9,NAO SE APLICA,2015,4,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
3,ADMINISTRACAO DIRETA,52303,CONTROLADORIA-GERAL DA UNIAO,1366,CONTROLADORIA REGIONAL DA UNIAO NO ESTADO DO AMAZONAS,-9,NAO SE APLICA,2015,9,333110100,DEPRECIACAO DE BENS MOVEIS,5775.98
2,FUNDACAO PUBLICA,244,MINISTERIO DA EDUCACAO,1734,FUNDACAO UNIVERSIDADE FEDERAL DE SAO JOAO DEL REI,-9,NAO SE APLICA,2015,11,333110100,DEPRECIACAO DE BENS MOVEIS,0.0
3,ADMINISTRACAO DIRETA,14,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2791,"SUPERINTENDENCIA FEDERAL DE AGRICULTURA, PECUARIA E ABASTECIMENTO NO ESTADO DE GOIAS",-9,NAO SE APLICA,2015,8,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
2,FUNDACAO PUBLICA,2981,"MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO",3,FUNDACAO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATISTICA,-9,NAO SE APLICA,2015,8,333110200,DEPRECIACAO DE BENS IMOVEIS,0.0
