co_natureza_juridica,ds_natureza_juridica,co_organizacao_n1,ds_organizacao_n1,co_organizacao_n2,ds_organizacao_n2,co_organizacao_n3,ds_organizacao_n3,an_lanc,me_lanc,va_custo_pessoal_inativo
2,FUNDACAO PUBLICA,244,MINISTERIO DA EDUCACAO,465,FUNDACAO UNIVERSIDADE DO AMAZONAS,-9,NAO SE APLICA,2020,3,753489.94
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,464,UNIVERSIDADE FEDERAL DE SAO PAULO,-9,NAO SE APLICA,2020,8,24835215.73
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,426,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,214395,PRO-REITORIA DE GESTAO E GOVERNANCA,2019,5,12646.35
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,426,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,214395,PRO-REITORIA DE GESTAO E GOVERNANCA,2019,2,12646.35
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,426,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,214395,PRO-REITORIA DE GESTAO E GOVERNANCA,2019,6,12646.35
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,426,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,214395,PRO-REITORIA DE GESTAO E GOVERNANCA,2019,4,12646.35
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,426,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,214395,PRO-REITORIA DE GESTAO E GOVERNANCA,2019,11,12889.66
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,426,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,214395,PRO-REITORIA DE GESTAO E GOVERNANCA,2019,3,12646.35
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,426,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,214395,PRO-REITORIA DE GESTAO E GOVERNANCA,2019,10,12889.66
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,426,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,214395,PRO-REITORIA DE GESTAO E GOVERNANCA,2019,8,12889.66
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,426,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,214395,PRO-REITORIA DE GESTAO E GOVERNANCA,2019,9,12889.66
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,426,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,214395,PRO-REITORIA DE GESTAO E GOVERNANCA,2019,1,12646.35
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,426,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,214395,PRO-REITORIA DE GESTAO E GOVERNANCA,2019,12,12889.66
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,426,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,214395,PRO-REITORIA DE GESTAO E GOVERNANCA,2019,7,12646.35
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,464,UNIVERSIDADE FEDERAL DE SAO PAULO,-9,NAO SE APLICA,2020,4,24714247.27
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,464,UNIVERSIDADE FEDERAL DE SAO PAULO,-9,NAO SE APLICA,2020,10,24622310.54
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,464,UNIVERSIDADE FEDERAL DE SAO PAULO,-9,NAO SE APLICA,2020,2,24584061.94
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,464,UNIVERSIDADE FEDERAL DE SAO PAULO,-9,NAO SE APLICA,2020,9,24840155.41
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,464,UNIVERSIDADE FEDERAL DE SAO PAULO,-9,NAO SE APLICA,2020,5,24740558.93
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,464,UNIVERSIDADE FEDERAL DE SAO PAULO,-9,NAO SE APLICA,2020,3,24697081.28
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,464,UNIVERSIDADE FEDERAL DE SAO PAULO,-9,NAO SE APLICA,2020,1,24491013.29
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,464,UNIVERSIDADE FEDERAL DE SAO PAULO,-9,NAO SE APLICA,2020,7,24840680.15
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,464,UNIVERSIDADE FEDERAL DE SAO PAULO,-9,NAO SE APLICA,2020,11,24661115.98
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,464,UNIVERSIDADE FEDERAL DE SAO PAULO,-9,NAO SE APLICA,2020,6,24876149.24
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,464,UNIVERSIDADE FEDERAL DE SAO PAULO,-9,NAO SE APLICA,2020,12,24719315.88
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,463,UNIVERSIDADE FEDERAL DE LAVRAS,-9,NAO SE APLICA,2020,6,5952291.17
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,425,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,-9,NAO SE APLICA,2020,2,20757154.86
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,425,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,-9,NAO SE APLICA,2020,8,20854160.08
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,425,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,-9,NAO SE APLICA,2020,1,20793068.43
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,425,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,-9,NAO SE APLICA,2020,12,20740642.65
4,AUTARQUIA,244,MINISTERIO DA EDUCACAO,425,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,-9,NAO SE APLICA,2020,5,20772073.4
3,ADMINISTRACAO DIRETA,41066,MINISTERIO DA DEFESA,36,ESCOLA SUPERIOR DE GUERRA,120588,CAMPUS RIO DE JANEIRO,2018,2,242059.16
3,ADMINISTRACAO DIRETA,41066,MINISTERIO DA DEFESA,36,ESCOLA SUPERIOR DE GUERRA,120588,CAMPUS RIO DE JANEIRO,2018,12,242059.16
3,ADMINISTRACAO DIRETA,41066,MINISTERIO DA DEFESA,36,ESCOLA SUPERIOR DE GUERRA,120588,CAMPUS RIO DE JANEIRO,2018,8,242059.16
3,ADMINISTRACAO DIRETA,41066,MINISTERIO DA DEFESA,36,ESCOLA SUPERIOR DE GUERRA,120588,CAMPUS RIO DE JANEIRO,2018,9,242059.16
